,Model,Attacker,Epsilon,Test_acc,Test_att_acc
0,res18,res18_no_drop,0.0,0.8319,0.8319
1,res18,res18_no_drop,0.2,0.8319,0.8315
2,res18,res18_no_drop,0.4,0.8319,0.6314
3,res18,res18_no_drop,0.6,0.8319,0.3357
4,res18,res18_no_drop,0.8,0.8319,0.265
5,res18,res18_no_drop,1.0,0.8319,0.2541
0,res18_AT,res18_no_drop,0.0,0.8319,0.8319
1,res18_AT,res18_no_drop,0.2,0.8319,0.8311
2,res18_AT,res18_no_drop,0.4,0.8319,0.6906
3,res18_AT,res18_no_drop,0.6,0.8319,0.3146
4,res18_AT,res18_no_drop,0.8,0.8319,0.2595
5,res18_AT,res18_no_drop,1.0,0.8319,0.2857
0,res18_AT,res18_no_drop_AT,0.0,0.8442,0.8442
1,res18_AT,res18_no_drop_AT,0.2,0.8442,0.8443
2,res18_AT,res18_no_drop_AT,0.4,0.8442,0.8435
3,res18_AT,res18_no_drop_AT,0.6,0.8442,0.8354
4,res18_AT,res18_no_drop_AT,0.8,0.8442,0.4768
5,res18_AT,res18_no_drop_AT,1.0,0.8442,0.307
0,dense121,res18_no_drop,0.0,0.7377,0.7377
1,dense121,res18_no_drop,0.2,0.7377,0.737
2,dense121,res18_no_drop,0.4,0.7377,0.6976
3,dense121,res18_no_drop,0.6,0.7377,0.234
4,dense121,res18_no_drop,0.8,0.7377,0.1846
5,dense121,res18_no_drop,1.0,0.7377,0.1674
